,City,Air Quality,Index Value,Prominent Pollutant,No. of Monitoring Stations,Date,
,Kanpur,Satisfactory,69,CO,1,,2015-06-26
,Lucknow,Satisfactory,100,CO,2,,2015-06-26
,Navi Mumbai,Satisfactory,67,CO,1,,2015-06-26
,Varanasi,Satisfactory,80,PM<s>10</s>,1,,2015-06-26
,,,,,,,2015-06-26
,City,Air Quality,Index Value,Prominent Pollutant,Based on number of monitoring stations,,2015-06-27
,Agra,Satisfactory,58,PM<s>2.5</s>,1,,2015-06-27
,Ahmedabad,Moderate,115,PM<s>2.5</s>,1,,2015-06-27
,Bengaluru,Good,37,"PM<s>2.5, </s>CO",3,,2015-06-27
,Chennai,Moderate,174,"PM<s>2.5, </s>CO",2+,,2015-06-27
,Delhi,Moderate,172,"PM<s>2.5, </s>PM<s>10 </s>",6,,2015-06-27
,Faridabad,Moderate,104,PM<s>2.5 </s>,1,,2015-06-27
,Hyderabad,Satisfactory,57,PM<s>2.5</s>,1,,2015-06-27
,Kanpur,Satisfactory,78,PM<s>2.5</s>,1,,2015-06-27
,Lucknow,Satisfactory,85,"PM<s>2.5, </s>CO",3,,2015-06-27
,Navi Mumbai,Satisfactory,67,CO,1,,2015-06-27
,Varanasi,Moderate,127,PM<s>10</s>,1,,2015-06-27
,,,,,,,2015-06-27
,City,Air Quality,Index Value,Prominent Pollutant,Based on number of monitoring stations,,2015-06-28
,Agra,Satisfactory,69,PM<s>2.5</s>,1,,2015-06-28
,Ahmedabad,Satisfactory,88,PM<s>2.5</s>,1,,2015-06-28
,Bengaluru,Satisfactory,56,"PM<s>2.5, </s>CO",3,,2015-06-28
,Chennai,Moderate,112,PM<s>2.5</s>,2,,2015-06-28
,Delhi,Moderate,182,"PM<s>2.5, </s>PM<s>10 </s>",6,,2015-06-28
,Faridabad,Moderate,114,PM<s>2.5 </s>,1,,2015-06-28
,Hyderabad,Satisfactory,66,PM<s>2.5</s>,1,,2015-06-28
,Kanpur,Moderate,141,PM<s>2.5</s>,1,,2015-06-28
,Lucknow,Satisfactory,95,"PM<s>2.5, </s>CO",3,,2015-06-28
,Navi Mumbai,Satisfactory,69,CO,1,,2015-06-28
,Varanasi,Satisfactory,69,PM<s>10</s>,1,,2015-06-28
,,,,,,,2015-06-28
,City,Air Quality,Index Value,Prominent Pollutant,Based on number of monitoring stations,,2015-07-01
,Agra,Good,42,O<s>3</s>,1,,2015-07-01
,Ahmedabad,Good,15,NO<s>2</s>,1,,2015-07-01
,Bengaluru,Satisfactory,55,CO,2,,2015-07-01
,Chennai,Moderate,172,"PM<s>2.5, </s>CO",3,,2015-07-01
,Delhi,Moderate,153,"PM<s>2.5, </s>PM<s>10, </s>O<s>3</s>",6,,2015-07-01
,Faridabad,Satisfactory,99,PM<s>2.5 </s>,1,,2015-07-01
,Hyderabad,Good,47,PM<s>2.5</s>,1,,2015-07-01
,Kanpur,Satisfactory,73,CO,1,,2015-07-01
,Lucknow,Satisfactory,83,CO,3,,2015-07-01
,Navi Mumbai,Satisfactory,76,CO,1,,2015-07-01
,Varanasi,Moderate,144,PM<s>10</s>,1,,2015-07-01
,,,,,,,2015-07-01
,City,Air Quality,Index Value,Prominent Pollutant,Based on number of monitoring stations,,2015-07-02
,Agra,Good,48,O<s>3</s>,1,,2015-07-02
,Ahmedabad,Satisfactory,63,PM<s>2.5</s>,1,,2015-07-02
,Bengaluru,Satisfactory,63,"PM<s>2.5,</s> CO",2,,2015-07-02
,Chennai,Moderate,144,"PM<s>2.5, </s>CO",2,,2015-07-02
,Delhi,Poor,219,"O<s>3, </s>PM<s>10,</s> PM<s>2.5</s>",6,,2015-07-02
,Faridabad,Satisfactory,91,PM<s>2.5 </s>,1,,2015-07-02
,Hyderabad,Good,44,PM<s>2.5</s>,1,,2015-07-02
,Kanpur,Moderate,103,PM<s>2.5</s>,1,,2015-07-02
,Lucknow,Moderate,112,CO,2,,2015-07-02
,Navi Mumbai,Satisfactory,79,CO,1,,2015-07-02
,Varanasi,Moderate,143,PM<s>10</s>,1,,2015-07-02
,,,,,,,2015-07-02
,City,Air Quality,Index Value,Prominent Pollutant,Based on number of monitoring stations,,2015-07-03
,Agra,Satisfactory,77,PM<s>2.5</s>,1,,2015-07-03
,Ahmedabad,Satisfactory,86,PM<s>2.5</s>,1,,2015-07-03
,Bengaluru,Good,46,CO,3,,2015-07-03
,Chennai,Moderate,157,"CO , PM<s>2.5</s>",3,,2015-07-03
,Delhi,Moderate,179,"O<s>3, </s>PM<s>10, </s>PM<s>2.5</s>",6,,2015-07-03
,Faridabad,Satisfactory,98,PM<s>2.5 </s>,1,,2015-07-03
,Hyderabad,Satisfactory,62,PM<s>2.5</s>,1,,2015-07-03
,Kanpur,Satisfactory,72,PM<s>2.5</s>,1,,2015-07-03
,Lucknow,Satisfactory,59,CO,2,,2015-07-03
,Navi Mumbai,Satisfactory,82,CO,1,,2015-07-03
,Varanasi,Moderate,130,PM<s>10</s>,1,,2015-07-03
,,,,,,,2015-07-03
,City,Air Quality,Index Value,Prominent Pollutant,Based on number of monitoring stations,,2015-07-04
,Agra,Moderate,107,PM<s>2.5</s>,1,,2015-07-04
,Ahmedabad,Satisfactory,79,PM<s>2.5</s>,1,,2015-07-04
,Bengaluru,Good,35,PM<s>2.5</s>,1,,2015-07-04
,Delhi,Moderate,176,PM<s>2.5</s>,1,,2015-07-04
,Faridabad,Moderate,115,PM<s>2.5 </s>,1,,2015-07-04
,Hyderabad,Satisfactory,56,PM<s>2.5</s>,1,,2015-07-04
,Kanpur,Satisfactory,80,PM<s>2.5</s>,1,,2015-07-04
,Lucknow,Good,40,"PM<s>2.5, </s>O<s>3</s>",2,,2015-07-04
,Navi Mumbai,Satisfactory,83,CO,1,,2015-07-04
