,City,Air Quality,Index Value,Prominent Pollutant,No. of Monitoring Stations,Date,
,Varanasi,Moderate,147,PM<s>10</s>,1,,2015-07-04
,,,,,,,2015-07-04
,City,Air Quality,Index Value,Prominent Pollutant,Based on number of monitoring stations,,2015-07-05
,Agra,Moderate,124,PM<s>2.5</s>,1,,2015-07-05
,Ahmedabad,Satisfactory,71,PM<s>2.5</s>,1,,2015-07-05
,Bengaluru,Good,36,"PM<s>2.5, </s>CO",2,,2015-07-05
,Chennai,Moderate,156,"PM<s>2.5, </s>CO",3+,,2015-07-05
,Delhi,Very Poor,303,PM<s>2.5</s>,3,,2015-07-05
,Faridabad,Very Poor,351,PM<s>2.5 </s>,1,,2015-07-05
,Hyderabad,Satisfactory,53,PM<s>2.5</s>,1,,2015-07-05
,Kanpur,Moderate,118,PM<s>2.5</s>,1,,2015-07-05
,Lucknow,Satisfactory,62,CO,2,,2015-07-05
,Navi Mumbai,Satisfactory,92,CO,1,,2015-07-05
,Varanasi,Moderate,142,PM<s>10</s>,1,,2015-07-05
,,,,,,,2015-07-05
,City,Air Quality,Index Value,Prominent Pollutant,Based on number of monitoring stations,,2015-07-06
,Agra,Poor,229,PM<s>2.5</s>,1,,2015-07-06
,Ahmedabad,Satisfactory,89,PM<s>2.5</s>,1,,2015-07-06
,Bengaluru,Good,42,PM<s>2.5</s>,3,,2015-07-06
,Chennai,Moderate,162,"PM<s>2.5, </s>CO",3,,2015-07-06
,Delhi,Poor,225,"PM<s>2.5, </s>PM<s>10</s>",7,,2015-07-06
,Faridabad,Poor,217,PM<s>2.5 </s>,1,,2015-07-06
,Hyderabad,Good,45,PM<s>2.5</s>,1,,2015-07-06
,Kanpur,Satisfactory,70,PM<s>2.5</s>,1,,2015-07-06
,Lucknow,Satisfactory,100,"PM<s>2.5, </s>CO",3,,2015-07-06
,Navi Mumbai,Satisfactory,86,CO,1,,2015-07-06
,Varanasi,Satisfactory,96,PM<s>10</s>,1,,2015-07-06
,,,,,,,2015-07-06
,City,Air Quality,Index Value,Prominent Pollutant,Based on number of monitoring stations,,2015-07-07
,Agra,Good,37,PM<s>2.5</s>,1,,2015-07-07
,Ahmedabad,Satisfactory,87,PM<s>2.5</s>,1,,2015-07-07
,Bangaluru,Good,47,CO,3,,2015-07-07
,Chennai,Moderate,160,"PM<s>2.5,</s> CO",3,,2015-07-07
,Delhi,Moderate,145,"PM<s>2.5,</s> PM<s>10</s>",7,,2015-07-07
,Faridabad,Good,48,CO,1,,2015-07-07
,Hyderabad,Satisfactory,53,PM<s>2.5</s>,1,,2015-07-07
,Kanpur,Satisfactory,67,CO,1,,2015-07-07
,Lucknow,Moderate,101,CO,2,,2015-07-07
,Navi Mumbai,Satisfactory,74,CO,1,,2015-07-07
,Varanasi,Satisfactory,79,PM<s>10</s>,1,,2015-07-07
,,,,,,,2015-07-07
,City,Air Quality,Index Value,Prominent Pollutant,Based on number of monitoring stations,,2015-07-08
,Agra,Good,46,PM<s>2.5</s>,1,,2015-07-08
,Ahmedabad,Satisfactory,66,PM<s>2.5</s>,1,,2015-07-08
,Bengaluru,Good,32,"CO, PM<s>2.5</s>",3,,2015-07-08
,Chennai,Moderate,152,"CO, PM<s>2.5</s>",3,,2015-07-08
,Delhi,Moderate,160,"PM<s>10, </s>PM<s>2.5</s>",6,,2015-07-08
,Faridabad,Moderate,123,PM<s>2.5 </s>,1,,2015-07-08
,Hyderabad,Good,48,PM<s>2.5</s>,1,,2015-07-08
,Kanpur,Satisfactory,70,CO,1,,2015-07-08
,Lucknow,Satisfactory,76,"O<s>3</s>, CO, PM<s>2.5</s>",3,,2015-07-08
,Navi Mumbai,Satisfactory,84,CO,1,,2015-07-08
,Varanasi,Good,39,PM<s>10</s>,1,,2015-07-08
,,,,,,,2015-07-08
,City,Air Quality,Index Value,Prominent Pollutant,Based on number of monitoring stations,,2015-07-09
,Agra,Satisfactory,58,PM<s>2.5</s>,1,,2015-07-09
,Ahmedabad,Satisfactory,75,PM<s>2.5</s>,1,,2015-07-09
,Bengaluru,Good,47,CO,3,,2015-07-09
,Chennai,Moderate,182,"PM<s>2.5, </s>CO",2,,2015-07-09
,Delhi,Moderate,153,"PM<s>10, </s>PM<s>2.5, </s>O<s>3</s>",6,,2015-07-09
,Faridabad,Satisfactory,78,PM<s>2.5</s>,1,,2015-07-09
,Hyderabad,Good,37,PM<s>2.5</s>,1,,2015-07-09
,Kanpur,Satisfactory,65,PM<s>2.5</s>,1,,2015-07-09
,Lucknow,Satisfactory,96,"PM<s>2.5, </s>CO",3,,2015-07-09
,Navi Mumbai,Satisfactory,92,CO,1,,2015-07-09
,Varanasi,Good,45,PM<s>10</s>,1,,2015-07-09
,,,,,,,2015-07-09
,City,Air Quality,Index Value,Prominent Pollutant,Based on number of monitoring stations,,2015-07-10
,Agra,Satisfactory,64,PM<s>2.5</s>,1,,2015-07-10
,Ahmedabad,Satisfactory,75,PM<s>2.5</s>,1,,2015-07-10
,Bengaluru,Good,36,CO,3,,2015-07-10
,Chennai,Satisfactory,93,CO,1,,2015-07-10
,Delhi,Moderate,112,"CO, PM<s>2.5, </s>PM<s>10</s>",5+,,2015-07-10
,Faridabad,Moderate,127,PM<s>2.5 </s>,1,,2015-07-10
,Hyderabad,Good,44,PM<s>2.5</s>,1,,2015-07-10
,Kanpur,Good,49,CO,1,,2015-07-10
,Lucknow,Satisfactory,96,CO,3,,2015-07-10
,Navi Mumbai,Satisfactory,97,CO,1,,2015-07-10
,,,,,,,2015-07-10
,City,Air Quality,Index Value,Prominent Pollutant,Based on number of monitoring stations,,2015-07-11
,Agra,Satisfactory,81,PM<s>2.5</s>,1,,2015-07-11
,Ahmedabad,Moderate,169,PM<s>2.5</s>,1,,2015-07-11
,Bengaluru,Good,40,CO,3,,2015-07-11
,Chennai,Moderate,162,PM<s>2.5</s>,2,,2015-07-11
,Delhi,Satisfactory,56,"NO<s>2</s>,PM<s>2.5,</s>CO",4,,2015-07-11
,Faridabad,Good,31,CO,1,,2015-07-11
,Hyderabad,Good,40,PM<s>2.5</s>,1,,2015-07-11
,Kanpur,Good,47,CO,1,,2015-07-11
,Lucknow,Satisfactory,83,"PM<s>2.5, </s>CO",3,,2015-07-11
,Navi Mumbai,Satisfactory,96,CO,1,,2015-07-11
,Varanasi,Good,24,PM<s>2.5</s>,1,,2015-07-11
,,,,,,,2015-07-11
,City,Air Quality,Index Value,Prominent Pollutant,Based on number of monitoring stations,,2015-07-12
,Ahmedabad,Poor,241,PM<s>2.5</s>,1,,2015-07-12
,Bengaluru,Good,47,"CO, PM<s>2.5</s>",2,,2015-07-12
,Chennai,Moderate,149,PM<s>2.5</s>,2,,2015-07-12
,Delhi,Satisfactory,67,"CO, PM<s>2.5</s>",3,,2015-07-12
,Faridabad,Satisfactory,63,PM<s>2.5 </s>,1,,2015-07-12
,Hyderabad,Good,44,PM<s>2.5</s>,1,,2015-07-12
,Kanpur,Satisfactory,54,CO,1,,2015-07-12
,Navi Mumbai,Satisfactory,94,CO,1,,2015-07-12
,Varanasi,Satisfactory,52,PM<s>10</s>,1,,2015-07-12
,,,,,,,2015-07-12
,City,Air Quality,Index Value,Prominent Pollutant,Based on number of monitoring stations,,2015-07-13
,Ahmedabad,Moderate,195,PM<s>2.5</s>,1,,2015-07-13
,Bangalore,Good,41,"CO, PM<s>2.5</s>",3,,2015-07-13
,Chennai,Moderate,139,PM<s>2.5</s>,3,,2015-07-13
,Delhi,Satisfactory,63,"O<s>3</s>, CO, PM<s>10</s>",3 (Two stations at 3.00 PM),,2015-07-13
,Faridabad,Satisfactory,85,PM<s>2.5</s>,1,,2015-07-13
,Hyderabad,Satisfactory,68,PM<s>2.5</s>,1,,2015-07-13
,Kanpur,Satisfactory,68,CO,1,,2015-07-13
,Navi Mumbai,Satisfactory,81,CO,1,,2015-07-13
,Varanasi,Satisfactory,87,PM<s>10</s>,1,,2015-07-13
,,,,,,,2015-07-13
,City,Air Quality,Index Value,Prominent Pollutant,Based on number of monitoring stations,,2015-07-14
,Agra,Satisfactory,54,PM<s>2.5</s>,1,,2015-07-14
,Bangalore,Good,35,PM<s>2.5</s>,2,,2015-07-14
,Chennai,Moderate,133,PM<s>2.5</s>,2,,2015-07-14
,Delhi,Satisfactory,82,PM<s>2.5</s>,4,,2015-07-14
,Faridabad,Poor,273,PM<s>2.5</s>,1,,2015-07-14
,Hyderabad,Satisfactory,60,PM<s>2.5</s>,1,,2015-07-14
,Kanpur,Satisfactory,78,PM<s>2.5</s>,1,,2015-07-14
,Lucknow,Moderate,140,CO,3 (one station @ 3.00 PM),,2015-07-14
,Navi Mumbai,Satisfactory,72,CO,1,,2015-07-14
,Varanasi,Moderate,117,PM<s>10</s>,1,,2015-07-14
,,,,,,,2015-07-14
,City,Air Quality,Index Value,Prominent Pollutant,Based on number of monitoring stations,,2015-07-15
,Agra,Satisfactory,59,PM<s>2.5</s>,1,,2015-07-15
,Ahmedabad,Moderate,149,PM<s>2.5</s>,1,,2015-07-15
,Bengaluru,Good,35,PM<s>2.5</s>,2,,2015-07-15
,Chennai,Moderate,125,PM<s>2.5</s>,3,,2015-07-15
,Delhi,Moderate,195,"PM<s>10, </s>PM<s>2.5</s>",5,,2015-07-15
,Faridabad,Poor,263,PM<s>2.5 </s>,1,,2015-07-15
,Hyderabad,Good,49,PM<s>2.5</s>,1,,2015-07-15
,Kanpur,Satisfactory,63,CO,1,,2015-07-15
,Lucknow,Moderate,152,"CO, PM<s>2.5</s>",3,,2015-07-15
,Navi Mumbai,Satisfactory,78,CO,1,,2015-07-15
,Varanasi,Moderate,122,PM<s>10</s>,1,,2015-07-15
,,,,,,,2015-07-15
,City,Air Quality,Index Value,Prominent Pollutant,Based on number of monitoring stations,,2015-07-16
,Agra,Satisfactory,96,PM<s>2.5</s>,1,,2015-07-16
,Ahmedabad,Moderate,112,PM<s>2.5</s>,1,,2015-07-16
,Bangalore,Good,34,CO,3,,2015-07-16
,Chennai,Moderate,128,PM<s>2.5</s>,3,,2015-07-16
,Delhi,Poor,247,PM<s>10</s>,4,,2015-07-16
,Faridabad,Moderate,174,PM<s>2.5</s>,1,,2015-07-16
,Hyderabad,Satisfactory,57,PM<s>2.5</s>,1,,2015-07-16
,Kanpur,Satisfactory,88,PM<s>2.5</s>,1,,2015-07-16
,Lucknow,Moderate,130,CO,3,,2015-07-16
,Navi Mumbai,Satisfactory,82,CO,1,,2015-07-16
,Varanasi,Moderate,107,PM<s>10</s>,1,,2015-07-16
,,,,,,,2015-07-16
,City,Air Quality,Index Value,Prominent Pollutant,Based on number of monitoring stations,,2015-07-17
,Agra,Satisfactory,75,PM<s>2.5</s>,1,,2015-07-17
,Ahmedabad,Satisfactory,89,PM<s>2.5</s>,1,,2015-07-17
,Bangalore,Good,36,PM<s>2.5</s>,3,,2015-07-17
,Chennai,Moderate,128,PM<s>2.5</s>,3,,2015-07-17
,Delhi,Moderate,180,"PM<s>10, </s>PM<s>2.5</s>",5,,2015-07-17
,Faridabad,Moderate,153,PM<s>2.5</s>,1,,2015-07-17
,Hyderabad,Good,45,PM<s>2.5</s>,1,,2015-07-17
,Kanpur,Satisfactory,61,CO,1,,2015-07-17
,Lucknow,Moderate,130,CO,3,,2015-07-17
,Navi Mumbai,Satisfactory,83,CO,1,,2015-07-17
,Varanasi,Satisfactory,57,PM<s>10</s>,1,,2015-07-17
,,,,,,,2015-07-17
,City,Air Quality,Index Value,Prominent Pollutant,Based on number of monitoring stations,,2015-07-18
,Agra,Satisfactory,55,PM<s>2.5</s>,1,,2015-07-18
,Ahmedabad,Satisfactory,93,PM<s>2.5</s>,1,,2015-07-18
,Bangalore,Good,49,CO,3,,2015-07-18
,Chennai,Moderate,128,PM<s>2.5</s>,3,,2015-07-18
,Delhi,Moderate,187,PM<s>10</s>,4,,2015-07-18
,Faridabad,Satisfactory,98,PM<s>2.5</s>,1,,2015-07-18
,Hyderabad,Good,37,PM<s>2.5</s>,1,,2015-07-18
,Kanpur,Satisfactory,59,CO,1,,2015-07-18
,Lucknow,Moderate,127,CO,3,,2015-07-18
,Navi Mumbai,Satisfactory,83,CO,1,,2015-07-18
,Varanasi,Satisfactory,62,PM<s>10</s>,1,,2015-07-18
,,,,,,,2015-07-18
,City,Air Quality,Index Value,Prominent Pollutant,Based on number of monitoring stations,,2015-07-19
,Agra,Good,40,PM<s>2.5</s>,1,,2015-07-19
,Ahmedabad,Satisfactory,60,PM<s>2.5</s>,1,,2015-07-19
,Bengaluru,Good,32,"CO, PM<s>2.5</s>",3,,2015-07-19
,Chennai,Satisfactory,84,"CO, PM<s>2.5</s>",3,,2015-07-19
,Delhi,Moderate,151,"NO<s>2</s>,PM<s>2.5,</s>PM<s>10</s>",6,,2015-07-19
,Faridabad,Satisfactory,85,PM<s>2.5 </s>,1,,2015-07-19
,Hyderabad,Good,39,PM<s>2.5</s>,1,,2015-07-19
,Kanpur,Satisfactory,71,PM<s>2.5</s>,1,,2015-07-19
,Lucknow,Satisfactory,85,CO,2,,2015-07-19
,Navi Mumbai,Satisfactory,82,CO,1,,2015-07-19
,Varanasi,Satisfactory,85,PM<s>10</s>,1,,2015-07-19
,,,,,,,2015-07-19
,City,Air Quality,Index Value,Prominent Pollutant,Based on number of monitoring stations,,2015-07-20
,Agra,Good,34,CO,1,,2015-07-20
,Bengaluru,Good,33,CO,3,,2015-07-20
,Chennai,Satisfactory,84,CO,3,,2015-07-20
,Delhi,Moderate,155,"O<s>3,  </s>NO<s>2</s>, PM<s>2.5 </s>",4,,2015-07-20
,Faridabad,Good,46,PM<s>2.5 </s>,1,,2015-07-20
,Hyderabad,Good,41,PM<s>2.5</s>,1,,2015-07-20
,Kanpur,Satisfactory,55,CO,1,,2015-07-20
,Lucknow,Moderate,172,CO,2,,2015-07-20
,Navi Mumbai,Satisfactory,84,CO,1,,2015-07-20
,Varanasi,Satisfactory,81,PM<s>10</s>,1,,2015-07-20
,,,,,,,2015-07-20
,City,Air Quality,Index Value,Prominent Pollutant,Based on number of monitoring stations,,2015-07-21
,Agra,Satisfactory,88,O<s>3</s>,1,,2015-07-21
,Bengaluru,Good,40,CO,3,,2015-07-21
,Chennai,Satisfactory,96,PM<s>2.5</s>,2,,2015-07-21
,Delhi,Moderate,132,"NO<s>2</s>, PM<s>10, </s>PM<s>2.5 </s>",5,,2015-07-21
,Faridabad,Good,41,PM<s>2.5 </s>,1,,2015-07-21
,Hyderabad,Good,44,PM<s>2.5</s>,1,,2015-07-21
,Kanpur,Good,48,PM<s>2.5</s>,1,,2015-07-21
,Lucknow,Moderate,122,CO,3,,2015-07-21
,Navi Mumbai,Satisfactory,86,CO,1,,2015-07-21
,Varanasi,Satisfactory,60,PM<s>10</s>,1,,2015-07-21
,,,,,,,2015-07-21
,City,Air Quality,Index Value,Prominent Pollutant,Based on number of monitoring stations,,2015-07-22
,Agra,Moderate,103,PM<s>2.5</s>,1,,2015-07-22
,Ahmedabad,Satisfactory,91,PM<s>2.5</s>,1,,2015-07-22
,Bengaluru,Good,34,"CO, PM<s>2.5</s>",2,,2015-07-22
,Chennai,Moderate,123,PM<s>2.5</s>,2,,2015-07-22
,Delhi,Moderate,124,"NO<s>2</s>, PM<s>10</s>",5,,2015-07-22
,Faridabad,Good,48,PM<s>2.5 </s>,1,,2015-07-22
,Hyderabad,Good,40,PM<s>2.5</s>,1,,2015-07-22
,Kanpur,Good,47,CO,1,,2015-07-22
,Lucknow,Moderate,110,CO,3,,2015-07-22
,Navi Mumbai,Satisfactory,89,CO,1,,2015-07-22
,Varanasi,Satisfactory,82,PM<s>10</s>,1,,2015-07-22
,,,,,,,2015-07-22
,City,Air Quality,Index Value,Prominent Pollutant,Based on number of monitoring stations,,2015-07-23
,Agra,Good,40,PM<s>2.5</s>,1,,2015-07-23
,Ahmedabad,Satisfactory,81,PM<s>2.5</s>,1,,2015-07-23
,Bengaluru,Satisfactory,76,CO,3,,2015-07-23
,Chennai,Moderate,157,"CO , PM<s>2.5</s>",2,,2015-07-23
,Delhi,Moderate,178,"CO, PM<s>10</s>",4,,2015-07-23
,Faridabad,Satisfactory,55,PM<s>2.5 </s>,1,,2015-07-23
,Hyderabad,Good,36,PM<s>2.5</s>,1,,2015-07-23
,Kanpur,Good,48,CO,1,,2015-07-23
,Lucknow,Moderate,161,"CO, PM<s>2.5</s>",3,,2015-07-23
,Navi Mumbai,Satisfactory,91,CO,1,,2015-07-23
,Varanasi,Satisfactory,62,PM<s>10</s>,1,,2015-07-23
,,,,,,,2015-07-23
,City,Air Quality,Index Value,Prominent Pollutant,Based on number of monitoring stations,,2015-07-24
,Agra,Good,40,PM<s>2.5</s>,1,,2015-07-24
,Ahmadabad,Good,45,PM<s>2.5</s>,1,,2015-07-24
,Bengaluru,Poor,241,CO,2,,2015-07-24
,Chennai,Moderate,159,PM<s>2.5</s>,2,,2015-07-24
,Delhi,Satisfactory,99,PM<s>10</s>,5,,2015-07-24
,Faridabad,Satisfactory,66,PM<s>2.5 </s>,1,,2015-07-24
,Hyderabad,Good,40,PM<s>2.5</s>,1,,2015-07-24
,Kanpur,Satisfactory,60,CO,1,,2015-07-24
,Lucknow,Moderate,129,CO,2,,2015-07-24
,Navi Mumbai,Satisfactory,96,CO,1,,2015-07-24
,Varanasi,Good,46,PM<s>10</s>,1,,2015-07-24
,,,,,,,2015-07-24
,City,Air Quality,Index Value,Prominent Pollutant,Based on number of monitoring stations,,2015-07-25
,Agra,Satisfactory,59,PM<s>2.5</s>,1,,2015-07-25
,Ahmedabad,Satisfactory,53,PM<s>2.5</s>,1,,2015-07-25
,Bangalore,Good,46,CO,2,,2015-07-25
,Chennai,Moderate,103,PM<s>2.5</s>,3,,2015-07-25
,Delhi,Moderate,104,PM<s>10</s>,5,,2015-07-25
,Faridabad,Good,45,PM<s>2.5</s>,1,,2015-07-25
,Hyderabad,Good,33,PM<s>2.5</s>,1,,2015-07-25
,Kanpur,Satisfactory,60,CO,1,,2015-07-25
,Lucknow,Moderate,135,"PM<s>2.5 </s>, CO",3,,2015-07-25
,Navi Mumbai,Satisfactory,97,CO,1,,2015-07-25
,Varanasi,Satisfactory,81,PM<s>10</s>,1,,2015-07-25
,,,,,,,2015-07-25
,City,Air Quality,Index Value,Prominent Pollutant,Based on number of monitoring stations,,2015-07-26
,Agra,Good,19,CO,1,,2015-07-26
,Ahmedabad,Moderate,107,PM<s>2.5</s>,1,,2015-07-26
,Bengaluru,Good,31,"CO, PM<s>2.5</s>",2+,,2015-07-26
,Chennai,Satisfactory,94,"CO, PM<s>2.5</s>",3,,2015-07-26
,Delhi,Satisfactory,82,"PM<s>2.5</s>, PM<s>10</s>",3,,2015-07-26
,Faridabad,Satisfactory,56,PM<s>2.5 </s>,1,,2015-07-26
,Hyderabad,Good,39,PM<s>2.5</s>,1,,2015-07-26
,Kanpur,Satisfactory,53,CO,1,,2015-07-26
,Lucknow,Satisfactory,93,CO,1,,2015-07-26
,Navi Mumbai,Satisfactory,96,CO,1,,2015-07-26
,Varanasi,Good,40,PM<s>10</s>,1,,2015-07-26
,,,,,,,2015-07-26
,City,Air Quality,Index Value,Prominent Pollutant,Based on number of monitoring stations,,2015-07-27
,Agra,Good,26,CO,1,,2015-07-27
,Ahmadabad,Good,37,PM<s>2.5</s>,1,,2015-07-27
,Bengaluru,Satisfactory,53,CO,3,,2015-07-27
,Chennai,Moderate,116,CO,3,,2015-07-27
,Delhi,Satisfactory,53,CO,4,,2015-07-27
,Faridabad,Good,32,CO,1,,2015-07-27
,Hyderabad,Good,39,PM<s>2.5</s>,1,,2015-07-27
,Kanpur,Satisfactory,73,CO,1,,2015-07-27
,Lucknow,Satisfactory,91,CO,1,,2015-07-27
,Navi Mumbai,Satisfactory,99,CO,1,,2015-07-27
,Varanasi,Satisfactory,75,PM<s>10</s>,1,,2015-07-27
,,,,,,,2015-07-27
,City,Air Quality,Index Value,Prominent Pollutant,Based on number of monitoring stations,,2015-07-28
,Agra,Good,24,CO,1,,2015-07-28
,Ahmadabad,Good,34,PM<s>2.5</s>,1,,2015-07-28
,Bengaluru,Good,42,CO,3(two stations @ 3.00 PM),,2015-07-28
,Chennai,Moderate,103,PM<s>2.5</s>,2,,2015-07-28
,Delhi,Satisfactory,70,NO<s>2</s>,4 (one station @ 3.00 PM),,2015-07-28
,Faridabad,Good,25,CO,1,,2015-07-28
,Hyderabad,Good,39,PM<s>2.5</s>,1,,2015-07-28
,Kanpur,Satisfactory,64,CO,1,,2015-07-28
,Lucknow,Moderate,117,PM<s>2.5</s>,2(@ 3.00 PM),,2015-07-28
,Navi Mumbai,Satisfactory,100,CO,1,,2015-07-28
,Varanasi,Satisfactory,87,PM<s>10</s>,1,,2015-07-28
,,,,,,,2015-07-28
,City,Air Quality,Index Value,Prominent Pollutant,Based on number of monitoring stations,,2015-07-29
,Agra,Good,28,CO,1,,2015-07-29
,Ahmadabad,Good,37,PM<s>2.5</s>,1,,2015-07-29
,Bengaluru,Good,49,CO,3,,2015-07-29
,Chennai,Satisfactory,96,PM<s>2.5</s>,3,,2015-07-29
,Delhi,Satisfactory,73,PM<s>10</s>,6,,2015-07-29
,Faridabad,Satisfactory,25,CO,1,,2015-07-29
,Hyderabad,Good,49,PM<s>2.5</s>,1,,2015-07-29
,Kanpur,Satisfactory,64,CO,1,,2015-07-29
,Lucknow,Moderate,116,"PM<s>2.5, </s>CO",3 (One station @ 3.00 PM),,2015-07-29
,Navi Mumbai,Satisfactory,85,CO,1,,2015-07-29
,Varanasi,Satisfactory,99,PM<s>10</s>,1(@ 3.00 PM),,2015-07-29
,,,,,,,2015-07-29
,City,Air Quality,Index Value,Prominent Pollutant,Based on number of monitoring stations,,2015-07-30
,Agra,Good,32,CO,1,,2015-07-30
,Ahmadabad,Satisfactory,73,PM<s>2.5</s>,1,,2015-07-30
,Bengaluru,Good,49,CO,2,,2015-07-30
,Chennai,Satisfactory,94,PM<s>2.5</s>,3,,2015-07-30
,Delhi,Satisfactory,60,PM<s>2.5</s>,3,,2015-07-30
,Faridabad,Good,37,CO,1,,2015-07-30
,Hyderabad,Good,36,PM<s>2.5</s>,1,,2015-07-30
,Kanpur,Satisfactory,70,CO,1,,2015-07-30
,Lucknow,Moderate,121,"CO, PM<s>2.5</s>",3,,2015-07-30
,Navi Mumbai,Satisfactory,75,CO,1,,2015-07-30
,Varanasi,Satisfactory,93,PM<s>10</s>,1,,2015-07-30
,,,,,,,2015-07-30
,City,Air Quality,Index Value,Prominent Pollutant,Based on number of monitoring stations,,2015-07-31
,Agra,Good,34,PM<s>2.5</s>,1,,2015-07-31
,Ahmedabad,Satisfactory,64,PM<s>2.5</s>,1,,2015-07-31
,Bengaluru,Satisfactory,55,CO,3,,2015-07-31
,Chennai,Satisfactory,95,PM<s>2.5</s>,3,,2015-07-31
,Delhi,Satisfactory,99,"PM<s>10, </s>CO",5,,2015-07-31
,Faridabad,Good,46,PM<s>2.5 </s>,1,,2015-07-31
,Hyderabad,Good,35,PM<s>2.5</s>,1,,2015-07-31
,Kanpur,Satisfactory,68,CO,1,,2015-07-31
,Lucknow,Moderate,110,"PM<s>2.5, </s>CO",3,,2015-07-31
,Navi Mumbai,Satisfactory,75,CO,1,,2015-07-31
,Varanasi,Satisfactory,63,PM<s>10</s>,1,,2015-07-31
,,,,,,,2015-07-31
,City,Air Quality,Index Value,Prominent Pollutant,Based on number of monitoring stations,,2015-08-01
,Agra,Satisfactory,54,PM<s>2.5</s>,1,,2015-08-01
,Ahmedabad,Satisfactory,70,PM<s>2.5</s>,1,,2015-08-01
,Bengaluru,Good,35,PM<s>2.5</s>,2,,2015-08-01
,Chennai,Moderate,102,PM<s>2.5</s>,2,,2015-08-01
,Delhi,Moderate,130,"PM<s>2.5</s>, PM<s>10</s>",5,,2015-08-01
,Faridabad,Satisfactory,54,PM<s>2.5 </s>,1,,2015-08-01
,Hyderabad,Good,27,PM<s>2.5</s>,1,,2015-08-01
,Kanpur,Satisfactory,60,CO,1,,2015-08-01
,Lucknow,Moderate,128,PM<s>2.5</s>,3,,2015-08-01
,Navi Mumbai,Satisfactory,82,CO,1,,2015-08-01
,Varanasi,Good,48,PM<s>10</s>,1,,2015-08-01
,,,,,,,2015-08-01
,City,Air Quality,Index Value,Prominent Pollutant,Based on number of monitoring stations,,2015-08-02
,Agra,Good,44,PM<s>2.5</s>,1,,2015-08-02
,Ahmedabad,Satisfactory,68,PM<s>2.5</s>,1,,2015-08-02
,Bengaluru,Good,36,PM<s>2.5</s>,3 (One station @ 3.00 PM),,2015-08-02
,Chennai,Moderate,191,"PM<s>2.5</s>, SO<s>2</s>",3,,2015-08-02
,Delhi,Moderate,122,"PM<s>2.5</s>, PM<s>10</s>",5,,2015-08-02
,Faridabad,Satisfactory,60,PM<s>2.5 </s>,1,,2015-08-02
,Hyderabad,Satisfactory,52,PM<s>2.5</s>,1,,2015-08-02
,Kanpur,Satisfactory,56,CO,1,,2015-08-02
,Lucknow,Satisfactory,91,PM<s>2.5</s>,2,,2015-08-02
,Navi Mumbai,Satisfactory,78,CO,1,,2015-08-02
,Varanasi,Satisfactory,80,PM<s>10</s>,1,,2015-08-02
,,,,,,,2015-08-02
,City,Air Quality,Index Value,Prominent Pollutant,Based on number of monitoring stations,,2015-08-03
,Agra,Good,45,PM<s>2.5</s>,1,,2015-08-03
,Ahmadabad,Satisfactory,66,PM<s>2.5</s>,1,,2015-08-03
,Bengaluru,Good,34,CO,3,,2015-08-03
,Chennai,Satisfactory,78,CO,3,,2015-08-03
,Delhi,Moderate,128,"PM<s>10</s> , PM<s>2.5</s>",6,,2015-08-03
,Faridabad,Good,49,PM<s>2.5    </s>,1,,2015-08-03
,Hyderabad,Good,40,PM<s>2.5</s>,1,,2015-08-03
,Kanpur,Satisfactory,60,CO,1,,2015-08-03
,Lucknow,Moderate,175,PM<s>2.5</s>,3,,2015-08-03
,Navi Mumbai,Satisfactory,79,CO,(1 station @3:00PM),,2015-08-03
,,,,,,,2015-08-03
,City,Air Quality,Index Value,Prominent Pollutant,Based on number of monitoring stations,,2015-08-04
,Agra,Satisfactory,70,PM<s>2.5</s>,1,,2015-08-04
,Ahmedabad,Satisfactory,53,PM<s>2.5</s>,1,,2015-08-04
,Bengaluru,Good,35,CO,3,,2015-08-04
,Chennai,Moderate,120,PM<s>2.5</s>,2,,2015-08-04
,Delhi,Moderate,153,"PM<s>10, </s>PM<s>2.5</s>",4,,2015-08-04
,Faridabad,Satisfactory,53,PM<s>2.5 </s>,1,,2015-08-04
,Hyderabad,Good,43,PM<s>2.5</s>,1,,2015-08-04
,Kanpur,Satisfactory,57,CO,1,,2015-08-04
,Lucknow,Moderate,101,PM<s>2.5</s>,3,,2015-08-04
,Navi Mumbai,Satisfactory,82,CO,1,,2015-08-04
,Varanasi,Satisfactory,48,PM<s>10</s>,1,,2015-08-04
,,,,,,,2015-08-04
,City,Air Quality,Index Value,Prominent Pollutant,Based on number of monitoring stations,,2015-08-05
,Agra,Poor,262,PM<s>2.5</s>,1,,2015-08-05
,Bengaluru,Good,42,CO,3,,2015-08-05
,Chennai,Moderate,109,PM<s>2.5</s>,3,,2015-08-05
,Delhi,Moderate,134,"PM<s>10, </s>PM<s>2.5</s>",5 (1 station @ 3:00 PM),,2015-08-05
,Faridabad,Satisfactory,77,PM<s>2.5 </s>,1,,2015-08-05
,Hyderabad,Good,36,PM<s>2.5</s>,1,,2015-08-05
,Kanpur,Satisfactory,72,CO,1,,2015-08-05
,Lucknow,Satisfactory,94,PM<s>2.5</s>,3,,2015-08-05
,Navi Mumbai,Satisfactory,82,CO,1,,2015-08-05
,Varanasi,Satisfactory,92,PM<s>10</s>,1,,2015-08-05
,,,,,,,2015-08-05
